Item No.,Variant Code,Unit of Measure,Reference Type,Reference Type No.,Reference No.,Description,Description 2,Starting Date,Ending Date,Usage Data Supplier Ref. Entry No.
00002D,,BG,Bar Code,,081652000020,EACH,,2024-07-29,,
00003D,,CS,Bar Code,,081652000037,EACH,,2024-07-29,,
00003D,,CS,Bar Code,,10081652000034,CASE,,2024-07-29,,
00004D,,CS,Bar Code,,081652000044,EACH,,2024-07-29,,
00004D,,CS,Bar Code,,10081652000041,CASE,,2024-07-29,,
00007D,,BG,Customer,GA26,533385,,,,,
00007D,,BG,Bar Code,,081652000075,EACH,,2024-07-29,,
00009D,,BG,Bar Code,,081652000099,EA,,2024-07-29,,
00009D,,BG,Bar Code,,10081652000096,CS,,2024-07-29,,
00010D,,BG,Bar Code,,081652000105,EACH,,2024-07-29,2024-07-30,
00011D,,CS,Bar Code,,081652000112,EACH,,2025-04-15,,
00011D,,CS,Bar Code,,10081652000119,CASE,,2025-04-15,,
00012D,,BG,Bar Code,,081652000129,EACH,,2024-07-29,,
00013D,,CS,Bar Code,,081652000136,EACH,,2024-07-29,,
00013D,,CS,Bar Code,,10081652000133,CASE,,2024-07-29,,
00014D,,CS,Bar Code,,081652000143,EACH,,2024-07-29,,
00014D,,CS,Bar Code,,10081652000140,CASE,,2024-07-29,,
00015D,,BG,Bar Code,,081652000150,BG,,2024-07-29,,
00015D,,BG,Bar Code,,10081652000157,CS,,2024-07-29,,
00016D,,CS,Vendor,10544,FIN-MC-0505,,,2024-07-29,,
00016D,,CS,Bar Code,,081652000167,EACH,,2024-09-25,,
00016D,,CS,Bar Code,,10081652000164,CASE,,2024-09-25,,
00018D,,CS,Bar Code,,081652000181,EACH,,2025-04-15,,
00018D,,CS,Bar Code,,10081652000188,CASE,,2025-04-15,,
00019D,,CS,Bar Code,,081652000198,EACH,,2024-07-29,,
00019D,,CS,Bar Code,,10081652000195,CASE,,2024-07-29,,
00020D,,CS,Bar Code,,081652000204,EACH,,2024-07-29,,
00020D,,CS,Bar Code,,10081652000201,CASE,,2024-07-29,,
00021D,,CS,Bar Code,,081652000211,EACH,,2025-04-15,,
00021D,,CS,Bar Code,,10081652000218,CASE,,2025-04-15,,
00022D,,CS,Bar Code,,081652000228,EACH,,2024-07-29,,
00022D,,CS,Bar Code,,10081652000225,CASE,,2024-07-29,,
00023D,,CS,Bar Code,,081652000235,EACH,,2024-07-29,,
00023D,,CS,Bar Code,,10081652000232,CASE,,2024-07-29,,
00024D,,CS,Bar Code,,081652000242,RETAIL 2023_03_17,,2024-07-29,,
00024D,,CS,Bar Code,,10081652000249,WH 2023_03_17,,2024-07-29,,
00025D,,BG,Bar Code,,081652000259,EACH,,2024-07-29,,
00026D,,BG,Bar Code,,081652000266,EACH,,2024-07-29,,
00027D,,BG,Bar Code,,081652000273,,,2024-07-29,2024-07-30,
00027D,,BG,Bar Code,,10081652000270,,,2024-07-29,2024-07-30,
00028D,,CS,Bar Code,,081652000280,RETAIL 2023_05_22,,2024-07-29,2024-07-30,
00028D,,CS,Bar Code,,10081652000287,WH 2023_05_22,,2024-07-29,2024-07-30,
00029D,,BG,Bar Code,,081652000297,EACH,,2024-07-29,,
00029D,,BG,Bar Code,,10081652000294,CASE,,2024-07-29,,
00030D,,BG,Bar Code,,081652000303,EACH,,2024-07-29,,
00030E,,BG,Bar Code,,081652000303,EACH,,2024-10-08,2024-10-08,
00031D,,BG,Customer,AZ003,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,CA039,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,CA40,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,CO003,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,FL339,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,IL89,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,KS29,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,MA64,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,MI69,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,NC168,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,OH85,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,PA142,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,TN57,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,TX188,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,TX189,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,VA372,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Customer,WA04,2056623,FANCY VARIETY RICE (50#),,,,
00031D,,BG,Bar Code,,081652000310,EACH,,2024-07-29,,
00031E,,BG,Customer,FL339,2056623,FANCY VARIETY RICE (50#),,,,
00031E,,BG,Customer,MA64,2056623,FANCY VARIETY RICE (50#),,,,
00031E,,BG,Customer,MI69,2056623,FANCY VARIETY RICE (50#),,,,
00031E,,BG,Customer,NC168,2056623,FANCY VARIETY RICE (50#),,,,
00031E,,BG,Customer,OH85,2056623,FANCY VARIETY RICE (50#),,,,
00031E,,BG,Customer,PA142,2056623,FANCY VARIETY RICE (50#),,,,
00031E,,BG,Customer,TN57,2056623,FANCY VARIETY RICE (50#),,,,
00031E,,BG,Bar Code,,081652000310,EACH,,2024-07-01,2024-10-07,
00032D,,BG,Bar Code,,081652000327,EACH,,2024-07-29,,
00033D,,BG,Bar Code,,081652000334,EACH,,2024-07-29,,
00033D,,BG,Bar Code,,10081652000331,CASE,,2024-07-29,,
00033E,,BG,Bar Code,,081652000334,EACH,,2024-10-24,2024-10-24,
00035D,,CS,Bar Code,,081652000358,EACH,,2024-07-29,,
00035D,,CS,Bar Code,,10081652000355,CASE,,2024-07-29,,
00036D,,CS,Bar Code,,081652000365,RETAIL 2023_04_04,,2024-07-29,,
00036D,,CS,Bar Code,,10081652000362,WH 2023_04_04,,2024-07-29,,
00050D,,BG,Bar Code,,081652000501,EACH,,2024-07-29,2024-07-30,
00051D,,CS,Bar Code,,081652000518,EACH,,2024-07-29,2024-07-30,
00053D,,CS,Bar Code,,081652000532,EACH,,2024-07-29,2024-07-30,
00054D,,CS,Bar Code,,081652000549,EACH,,2024-07-29,2024-07-30,
