Item No.,Variant Code,Unit of Measure,Reference Type,Reference Type No.,Reference No.,Description,Description 2,Starting Date,Ending Date,Usage Data Supplier Ref. Entry No.
00002D,,BG,Bar Code,,081652000020,EACH,,2024-07-29,,
00003D,,CS,Bar Code,,081652000037,EACH,,2024-07-29,,
00003D,,CS,Bar Code,,10081652000034,CASE,,2024-07-29,,
00004D,,CS,Bar Code,,081652000044,EACH,,2024-07-29,,
00004D,,CS,Bar Code,,10081652000041,CASE,,2024-07-29,,
00007D,,BG,Bar Code,,081652000075,EACH,,2024-07-29,,
00009D,,BG,Bar Code,,081652000099,EA,,2024-07-29,,
00009D,,BG,Bar Code,,10081652000096,CS,,2024-07-29,,
00011D,,CS,Bar Code,,081652000112,EACH,,2025-04-15,,
00011D,,CS,Bar Code,,10081652000119,CASE,,2025-04-15,,
00012D,,BG,Bar Code,,081652000129,EACH,,2024-07-29,,
00013D,,CS,Bar Code,,081652000136,EACH,,2024-07-29,,
00013D,,CS,Bar Code,,10081652000133,CASE,,2024-07-29,,
00014D,,CS,Bar Code,,081652000143,EACH,,2024-07-29,,
00014D,,CS,Bar Code,,10081652000140,CASE,,2024-07-29,,
00015D,,BG,Bar Code,,081652000150,BG,,2024-07-29,,
00015D,,BG,Bar Code,,10081652000157,CS,,2024-07-29,,
00016D,,CS,Bar Code,,081652000167,EACH,,2024-09-25,,
00016D,,CS,Bar Code,,10081652000164,CASE,,2024-09-25,,
00018D,,CS,Bar Code,,081652000181,EACH,,2025-04-15,,
00018D,,CS,Bar Code,,10081652000188,CASE,,2025-04-15,,
00019D,,CS,Bar Code,,081652000198,EACH,,2024-07-29,,
00019D,,CS,Bar Code,,10081652000195,CASE,,2024-07-29,,
00020D,,CS,Bar Code,,081652000204,EACH,,2024-07-29,,
00020D,,CS,Bar Code,,10081652000201,CASE,,2024-07-29,,
00021D,,CS,Bar Code,,081652000211,EACH,,2025-04-15,,
00021D,,CS,Bar Code,,10081652000218,CASE,,2025-04-15,,
00022D,,CS,Bar Code,,081652000228,EACH,,2024-07-29,,
00022D,,CS,Bar Code,,10081652000225,CASE,,2024-07-29,,
00023D,,CS,Bar Code,,081652000235,EACH,,2024-07-29,,
00023D,,CS,Bar Code,,10081652000232,CASE,,2024-07-29,,
00024D,,CS,Bar Code,,081652000242,RETAIL 2023_03_17,,2024-07-29,,
00024D,,CS,Bar Code,,10081652000249,WH 2023_03_17,,2024-07-29,,
00025D,,BG,Bar Code,,081652000259,EACH,,2024-07-29,,
00026D,,BG,Bar Code,,081652000266,EACH,,2024-07-29,,
00029D,,BG,Bar Code,,081652000297,EACH,,2024-07-29,,
00029D,,BG,Bar Code,,10081652000294,CASE,,2024-07-29,,
00030D,,BG,Bar Code,,081652000303,EACH,,2024-07-29,,
00031D,,BG,Bar Code,,081652000310,EACH,,2024-07-29,,
00032D,,BG,Bar Code,,081652000327,EACH,,2024-07-29,,
00033D,,BG,Bar Code,,081652000334,EACH,,2024-07-29,,
00033D,,BG,Bar Code,,10081652000331,CASE,,2024-07-29,,
00035D,,CS,Bar Code,,081652000358,EACH,,2024-07-29,,
00035D,,CS,Bar Code,,10081652000355,CASE,,2024-07-29,,
00036D,,CS,Bar Code,,081652000365,RETAIL 2023_04_04,,2024-07-29,,
00036D,,CS,Bar Code,,10081652000362,WH 2023_04_04,,2024-07-29,,
00066D,,BG,Bar Code,,081652000662,EACH,,2024-07-29,,
00066D,,BG,Bar Code,,100816520006669,CASE,,2024-07-29,,
00072D,,BG,Bar Code,,50758108728900,EACH,,2024-07-29,,
00080D,,CS,Bar Code,,081652000808,RETAIL 2023_04_04,,2024-07-29,,
00080D,,CS,Bar Code,,10081652000805,WH 2023_04_04,,2024-07-29,,
00081D,,CS,Bar Code,,081652000815,EACH,,2024-07-29,,
00081D,,CS,Bar Code,,10081652000812,CASE,,2024-07-29,,
00087D,,CS,Bar Code,,081652000877,RETAIL 2023_03_17,,2024-07-29,,
00087D,,CS,Bar Code,,10081652000874,WH 2023_03_17,,2024-07-29,,
00091D,,BG,Bar Code,,081652000914,EACH,,2024-07-29,,
00092D,,CS,Bar Code,,081652000921,RETAIL 2023_03_17,,2024-07-29,,
00092D,,CS,Bar Code,,10081652000928,WH 2023_03_17,,2024-07-29,,
00093D,,CS,Bar Code,,081652000938,RETAIL 2023_04_04,,2024-07-29,,
00093D,,CS,Bar Code,,10081652000935,WH 2023_04_04,,2024-07-29,,
00094D,,CS,Bar Code,,081652000945,EACH,,2024-07-29,,
00094D,,CS,Bar Code,,10081652000942,CASE,,2024-07-29,,
00097D,,CS,Bar Code,,081652000976,RETAIL 2023_04_04,,2024-07-29,,
00097D,,CS,Bar Code,,10081652000973,WH 2023_04_04,,2024-07-29,,
00099D,,CS,Bar Code,,081652000990,RETAIL 2023_03_17,,2024-07-29,,
00099D,,CS,Bar Code,,10081652000997,WH 2023_03_17,,2024-07-29,,
01015D,,CS,Bar Code,,081652010159,EACH,,2024-07-29,,
01015D,,CS,Bar Code,,10081652010156,CASE,,2024-07-29,,
01020D,,CS,Bar Code,,081652010203,EACH,,2024-07-29,,
01020D,,CS,Bar Code,,10081652010200,,,2024-11-01,,
01021D,,BG,Bar Code,,081652010210,EACH,,2024-07-29,,
01027D,,CS,Bar Code,,081652010272,EACH,,2024-07-29,,
01027D,,CS,Bar Code,,10081652010279,CASE,,2024-07-29,,
01029D,,BG,Bar Code,,081652010296,EACH,,2024-07-29,,
01030D,,BG,Bar Code,,081652010302,EACH,,2024-07-29,,
01031D,,CS,Bar Code,,081652010319,RETAIL 2023_03_17,,2024-07-29,,
01031D,,CS,Bar Code,,10081652010316,WH 2023_03_17,,2024-07-29,,
01033D,,CS,Bar Code,,081652010333,RETAIL 2023_03_17,,2024-07-29,,
01033D,,CS,Bar Code,,10081652010330,WH 2023_03_17,,2024-07-29,,
01034D,,CS,Bar Code,,081652010340,EACH,,2024-07-29,,
01034D,,CS,Bar Code,,10081652010347,,,2024-11-01,,
01038D,,BG,Bar Code,,10081652010385,EACH,,2024-07-29,,
01039D,,BG,Bar Code,,081652010395,WH 2023_04_04,,2024-07-29,,
01039D,,BG,Bar Code,,10081652010392,CASE,,2024-07-29,,
01041D,,CS,Bar Code,,081652010418,RETAIL 2023_03_17,,2024-07-29,,
01041D,,CS,Bar Code,,10081652010415,WH 2023_03_17,,2024-07-29,,
