No.,Description,Description 2,Base Unit of Measure,Unit Price,Days to Expire,Days to Sell,Brand,Size Description,Storage Type,Sales to Retail Conv. Factor
00002D,PREMIUM MEDIUM GRAIN RICE (15#_NEW),쌀 (15#_NEW),BG,14.9,600,90,HANKUKMI,15 LB,Dry,1
00002E,EXTRA FANCY RICE (15#) ,쌀 (15#),BG,9.4,700,90,HANKUKMI,15 LB,Dry,1
00003D,EXTRA FANCY RICE (10#_SUSHI RICE),스시 쌀 (10#),CS,43,690,90,HANKUKMI,4X10 LB,Dry,4
00004D,EXTRA FANCY RICE (5#_SUSHI RICE),스시 쌀 (5#),CS,51,690,90,HANKUKMI,8X5 LB,Dry,8
00007D,PREMIUM MEDIUM GRAIN RICE (40#_NEW),쌀 (40#_NEW),BG,36,690,90,HANKUKMI,40 LB,Dry,1
00007E,EXTRA FANCY RICE (40#),쌀 (40#),BG,27,700,90,HANKUKMI,40 LB,Dry,1
00009D,PREMIUM GOLD SHORT GRAIN RICE (18#_NEW),골드 쌀 (18#_NEW),BG,23,690,90,KINMAI,18 LB,Dry,1
00010D,EXTRA FANCY SWEET RICE (50#),찹쌀 (50#),BG,52,690,90,HANKUKMI,50 LB,Dry,1
00011D,EXTRA FANCY SWEET RICE (15#),찹쌀 (15#),CS,0,351,90,HANKUKMI,15 LB,Dry,1
00012D,EXTRA FANCY BROWN RICE (15#),현미 (15#),BG,14.7,690,90,RHEECHUN,15 LB,Dry,1
00013D,EXTRA FANCY SWEET RICE (10#_PAPER),찹쌀 (10#),CS,50,690,90,HANKUKMI,4X10 LB,Dry,4
00014D,EXTRA FANCY SWEET RICE (5#_PAPER),찹쌀 (5#),CS,56,690,90,HANKUKMI,8X5 LB,Dry,8
00015D,SPROUTED BROWN RICE (15#_ NEW),발아 현미 (15#),BG,18,690,90,RHEECHUN,15 LB,Dry,1
00016D,SWEET RICE (5#),찹쌀 (5#),CS,51,690,90,RHEECHUN,9X5 LB,Dry,9
00018D,PREMIUM BROWN SWEET RICE (15#),현미찹쌀 (15#),CS,0,351,90,HANKUKMI,15 LB,Dry,1
00019D,EXTRA FANCY BROWN SWEET RICE (10#),현미찹쌀 (10#),CS,43,690,90,HANKUKMI,4X10 LB,Dry,4
00020D,EXTRA FANCY BROWN SWEET RICE (5#),현미찹쌀 (5#),CS,60,690,90,HANKUKMI,8X5 LB,Dry,8
00021D,EXTRA FANCY BROWN RICE (15#),현미 (15#),CS,0,351,90,HANKUKMI,15 LB,Dry,1
00022D,EXTRA FANCY BROWN RICE (10#),현미 (10#),CS,32,690,90,HANKUKMI,4X10 LB,Dry,4
00023D,EXTRA FANCY BROWN RICE (5#),현미 (5#),CS,54,690,90,HANKUKMI,8X5 LB,Dry,8
00024D,PREMIUM GRADE BROWN RICE (2#),현미 (2#),CS,39,690,90,RHEECHUN,16X2 LB,Dry,16
00025D,PREMIUM SWEET RICE (15#),찹쌀 (15#),BG,14.2,690,90,RHEECHUN,15 LB,Dry,1
00026D,PREMIUM BROWN SWEET RICE (15#),현미찹쌀 (15#),BG,15,690,90,RHEECHUN,15 LB,Dry,1
00027D,PREMIUM SWEET RICE (15#),찹쌀 (15#),BG,15,640,90,MYOUNGGA,15 LB,Dry,1
00028D,PREMIUM SWEET RICE (5#),찹쌀 (5#),CS,63,640,90,MYOUNGGA,10X5 LB,Dry,10
00029D,EXTRA FANCY SWEET RICE (50#),찹쌀 (50#),BG,40,700,90,RHEECHUN,50 LB,Dry,1
00030D,FANCY VARIETY RICE (15#_NEW),쌀 (15#_NEW),BG,12.3,690,90,RHEECHUN,15 LB,Dry,1
00030E,FANCY VARIETY RICE (15#),쌀 (15#),BG,10.3,700,90,RHEECHUN,15 LB,Dry,1
00031D,FANCY VARIETY RICE (50#_NEW),쌀 (50#_NEW),BG,35,690,90,RHEECHUN,50 LB,Dry,1
00031E,FANCY VARIETY RICE (50#),쌀 (50#),BG,35,700,90,RHEECHUN,50 LB,Dry,1
00032D,FANCY VARIETY RICE (20#_NEW),쌀 (20#_NEW),BG,13.5,690,90,RHEECHUN,20 LB,Dry,1
00033D,FANCY VARIETY RICE (40#_NEW),쌀 (40#_NEW),BG,27,690,90,RHEECHUN,40 LB,Dry,1
00033E,FANCY VARIETY RICE (40#),쌀 (40#),BG,26,700,90,RHEECHUN,40 LB,Dry,1
00035D,FANCY VARIETY RICE (5#),쌀 (5#),CS,51,690,90,RHEECHUN,8X5 LB,Dry,8
00036D,PREMIUM GRADE SUSHI RICE (2#),쌀 (2#),CS,39,690,90,RHEECHUN,16X2 LB,Dry,16
00050D,ORGANIC SUSHI RICE (15#),유기농 쌀 (15#),BG,34,690,90,HANKUKMI,15 LB,Dry,1
00051D,ORGANIC SUSHI RICE (3#),유기농 쌀 (3#),CS,60,690,90,HANKUKMI,8X3 LB,Dry,8
00053D,ORGANIC BROWN SWEET RICE (3#),유기농 현미찹쌀 (3#),CS,61,690,90,HANKUKMI,8X3 LB,Dry,8
00054D,ORGANIC BROWN RICE (3#),유기농 현미 (3#),CS,60,690,90,HANKUKMI,8X3 LB,Dry,8
00057D,ORGANIC BROWN RICE (15#),유기농 현미 (15#),BG,35,690,90,HANKUKMI,15 LB,Dry,1
00060D,NUTRA-GRAIN RICE (15#_NEW),쌀눈이 가득한 쌀 (15#_NEW),BG,21,690,90,HANKUKMI,15 LB,Dry,1
00061D,NUTRA-GRAIN RICE (5#),쌀눈이 가득한 쌀 (5#),CS,41,690,90,HANKUKMI,6X5 LB,Dry,6
00066D,SELECT MEDIUM GRAIN RICE (40#),쌀 (셀렉트_ 40#),BG,26,700,90,UNBRANDED,40 LB,Dry,1
00072D,SUSHI RICE (15#_NEW),쌀 (15#_NEW),BG,10.8,690,90,RYKOFFSEXTON,15 LB,Dry,1
00073D,SAMCHEOK DONGJA FRESH RICE (22#),삼척동자 맑은 쌀 (22#),BG,27,285,90,CHEONGAGOODFOOD,22 LB,Dry,1
00074D,GOOD RICE BRAND (22#),참 좋은 맛드림 (22#),BG,27,285,90,CHEONGAGOODFOOD,22 LB,Dry,1
00075D,GOOD RICE BRAND (44#),참 좋은 맛드림 (44#),BG,53,285,90,CHEONGAGOODFOOD,44 LB,Dry,1
